start,STATE,LGA,Name of SEEFOR FADAMA Community Association (SFCA),Name of SEEFOR FADAMA User Groups (SFUG),Type of Sub-project Enterprise,CROP PRODUCTION,FISHERY,LIVESTOCK,POULTRY,PROCESSING,MARKETING,RURAL INFRASTRUCTURE,FORESTRY,Total Cost of Sub-Project,IDA Amount,Beneficiary Contribution,Total Amount Disbursed,Date of disbursement,Status of Sub-Project,Duration of Sub-Project Implementation,Total Number of Service Providers,Total number of enterprise beneficiaries,Number of members with access to extension services,People that has access to services support by the SEEFOR FADAMA Project,People that has access to services support by the SEEFOR FADAMA Project/Capacity building services,People that has access to services support by the SEEFOR FADAMA Project/Advisory Services,People that has access to services support by the SEEFOR FADAMA Project/People that have access to rural infrastructure services,People that has access to services support by the SEEFOR FADAMA Project/Input Support,Number of Meetings,Frequency of meetings held by Group,Average Size of Each Members’ Household,Number of Direct Beneficiaries: Male,Number of Direct Beneficiaries: Female,Number of beneficiaries under supported services: Male,Number of beneficiaries under supported services: Female,Number of Indirect Beneficiaries: Male,Number of Indirect Beneficiaries: Female,Number of person employed on permanent basis (Male),Number of person employed on permanent basis (Female),Number of person employed on temporary basis (Male),Number of person employed on temporary basis (Female),Crop Production: Metric Tons per Hecta,Fishery: Number of Kg,Livestock: Number of Livestock,Poultry: Number of Birds,Poultry: Crate of Eggs,Processing: Volume of Produce Processed (Kg),Number of Production Cycle,FUEF Amount Saved,Picture of Sub-project 1,Picture of Sub-project 2,GPS Coordinates of site,_GPS Coordinates of site_latitude,_GPS Coordinates of site_longitude,_GPS Coordinates of site_altitude,_GPS Coordinates of site_precision,Success Stories due to presence of intervention,Do you have any challenges?,"If yes, what is the challenge?",Risk factors,Risk factors/Militancy,Risk factors/Oil Spillage,Risk factors/Flood,Risk factors/Others,"If others, specify?",Name of Data Collector,Signature of Data Collector,Name of SEEFOR FADAMA User Groups (SFUGs),Type of enterprise,Total number of membership,Frequency of meetings held,Number of Male,Number of Female,Frequency of meetings held by Groups,Number of person employed on permanent basis (Male),Number of person employed on permanent basis (Female),Number of person employed on temporary basis (Male),Number of person employed on temporary basis (Female),People that has access to services support by the SEEFOR FADAMA Project,Amount disbursed,Duration of Sub-Project,Total Number of Service Provider,Picture of Site,GIS Coordinates of site,_GIS Coordinates of site_latitude,_GIS Coordinates of site_longitude,_GIS Coordinates of site_altitude,_GIS Coordinates of site_precision,Increase of Agricultural Production for SEEFOR FADAMA,Picture of Sub-project,calculation,Number of Indirect Beneficiaries Male ${calculation},calculation_001,Number of Indirect Beneficiaries Female ${calculation_001},Sustainability Measures,Picture of Sub-project 3,"If yes, specify?",_id,_uuid,_submission_time,_validation_status,_index
2019-10-29T14:34:05.655+01:00,BAYELSA,OGBIA,KOLO11 FADAMA111 SEEFOR COMMUNITY ASSOCIATION,,RURAL INFRASTRUCTURE,,,,,,,Other,,3300000,3000000,300000,3000000,25-09-17,Completed,Above 1 Year,3,20,20,Capacity building services Advisory Services People that have access to rural infrastructure services,1,1,1,0,12,1,7,12,8,12,8,70,70,0,0,0,0,,,,,,,,,1572356320136.jpg,1572356330888.jpg,4.803921666666667 6.374483333333334 -5.6 7.4,4.803921667,6.374483333,-5.6,7.4,INCREASED PROCESSING ACTIVITIES,Yes,HIGH RUNNING COST,Flood Others,0,0,1,1,SECURITY,ETIMI PIOUS,1572356454538.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39724212,39f8588c-0b18-42d8-92be-1ef20c64a9db,2019-10-29T13:41:31,,1
2019-10-29T06:13:38.215+01:00,BAYELSA,OGBIA,KOLO11 FADAMA111 SEEFOR COMMUNITY ASSOCIATION,KOWELLE KOLO11 FADAMA111 SEEFOR PLANTAIN FARMERS CSL,CROP PRODUCTION,Plantain,,,,,,,,1014000,720000,294000,720000,25-09-17,Completed,Above 1 Year,3,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,12,1,7,6,4,6,4,32,38,0,0,0,0,65,,,,,,1,40000,1572353299271.jpg,1572353309955.jpg,4.799821666666666 6.367355 -7.4 7.4,4.799821667,6.367355,-7.4,7.4,INCREASED INCOME,Yes,HIGH COST OF INPUTS AND LABOUR,Flood Others,0,0,1,1,POACHING,ETIMI PIOUS,1572326362902.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39724171,17063824-f5aa-4007-ba42-a360196e53a0,2019-10-29T13:41:11,,2
2019-10-29T06:41:15.137+01:00,BAYELSA,OGBIA,KOLO11 FADAMA111 SEEFOR COMMUNITY ASSOCIATION,KOGBON WIDOWS KOLO11 FADAMA111 SEEFOR FARMERS CSL,CROP PRODUCTION,Cassava,,,,,,,,1014000,720000,294000,720000,25-09-17,Completed,Above 1 Year,3,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,12,1,7,1,9,1,9,36,34,0,0,0,0,30,,,,,30000,2,30000,1572353103519.jpg,1572353115902.jpg,4.799923333333334 6.3676966666666655 -2.2 7.4,4.799923333,6.367696667,-2.2,7.4,INCREASED INCOME,Yes,HIGH COST OF INPUTS,Flood,0,0,1,0,,ETIMI PIOUS,1572327947083.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39721148,9ebc9910-e3dc-4dc3-a33d-8e62d622f0d1,2019-10-29T12:49:47,,3
2019-10-29T06:19:37.145+01:00,BAYELSA,OGBIA,KOLO11 FADAMA111 SEEFOR COMMUNITY ASSOCIATION,OGBO EPERE KOLO11 FADAMA111 SEEFOR BANANA FARMERS CSL,CROP PRODUCTION,Plantain,,,,,,,,1014000,720000,294000,720000,25-09-17,Completed,Above 1 Year,3,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,12,1,7,5,5,5,5,32,38,0,0,0,0,60,,,,,,1,35000,1572351516595.jpg,1572351527211.jpg,4.801683333333333 6.369353333333334 3.1 7.5,4.801683333,6.369353333,3.1,7.5,INCREASED INCOME,Yes,HIGH COST OF INPUTS AND LABOUR,Flood Others,0,0,1,1,POACHING,ETIMI PIOUS,1572326666920.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39721113,36d4b7fb-aa0c-4f84-9b87-73859188c91d,2019-10-29T12:48:24,,4
2019-10-29T05:43:40.743+01:00,BAYELSA,OGBIA,KOLO11 FADAMA111 SEEFOR COMMUNITY ASSOCIATION,WASU WIDOWS KOLO11 FADAMA111 SEEFOR PLANTAIN FARMERS CSL,CROP PRODUCTION,Plantain,,,,,,,,1014000,720000,294000,720000,25-09-17,Completed,Above 1 Year,3,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,12,1,7,0,10,0,10,38,32,0,0,0,0,60,,,,,,1,30000,1572352721217.jpg,1572352732519.jpg,4.800648333333333 6.368598333333334 -0.1 3.2,4.800648333,6.368598333,-0.1,3.2,INCREASED INCOME,Yes,HIGH COST OF INPUTS AND LABOUR,Flood Others,0,0,1,1,POACHING,AJEMUTA AKPO ABRAHAM,1572324440619.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39720426,d568805e-3cab-4503-923c-3fd7b2a08b01,2019-10-29T12:39:54,,5
2019-10-29T05:48:34.278+01:00,BAYELSA,OGBIA,KOLO11 FADAMA111 SEEFOR COMMUNITY ASSOCIATION,OGIRI ODE KOLO11 FADAMA111 SEEFOR CASSAVA FARMERS CSL,CROP PRODUCTION,Cassava,,,,,,,,1014000,720000,294000,720000,25-09-17,Completed,Above 1 Year,3,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,12,1,7,4,6,4,6,34,36,0,0,0,0,30,,,,,30000,2,40000,1572351294502.jpg,1572351257665.jpg,4.801828333333333 6.370176666666667 3.9 4.9,4.801828333,6.370176667,3.9,4.9,INCREASED INCOME,Yes,HIGH COST OF INPUTS,Flood,0,0,1,0,,AJEMUTA AKPO ABRAHAM,1572324761788.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39718996,864b093d-7351-45da-a976-9dc86e8bc27f,2019-10-29T12:15:27,,6
2019-10-29T05:38:47.735+01:00,BAYELSA,OGBIA,KOLO11 FADAMA111 SEEFOR COMMUNITY ASSOCIATION,OGBOKO KOLO11 FADAMA111 SEEFOR PLANTAIN FARMERS CSL,CROP PRODUCTION,Plantain,,,,,,,,1014000,720000,294000,720000,25-09-17,Completed,Above 1 Year,3,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,12,1,7,5,5,5,5,34,36,0,0,0,0,60,,,,,,1,30000,1572350676726.jpg,1572350690326.jpg,4.8025400000000005 6.371923333333332 -6.6 3.8,4.80254,6.371923333,-6.6,3.8,INCREASED INCOME,Yes,HIGH COST OF INPUTS,Flood Others,0,0,1,1,POACHING,AJEMUTA AKPO ABRAHAM,1572324212740.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39718436,eaf21953-1557-40ee-b20b-13b36828f97e,2019-10-29T12:05:28,,7
2019-10-29T06:24:45.589+01:00,BAYELSA,OGBIA,KOLO11 FADAMA111 SEEFOR COMMUNITY ASSOCIATION,AFURO KOLO11 FADAMA111 SEEFOR FISH FARMERS CSL,FISHERY,,Fish Pond,,,,,,,1014000,720000,294000,720000,25-09-17,Completed,Above 1 Year,3,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,12,1,7,7,3,7,3,34,36,0,0,0,0,,1000,,,,,4,20000,1572349894572.jpg,1572349909699.jpg,4.804006666666667 6.374813333333333 4.0 7.5,4.804006667,6.374813333,4,7.5,INCREASED INCOME,Yes,HIGH COST OF FEEDS,Others,0,0,0,1,POACHING,ETIMI PIOUS,1572327599798.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39717784,13eab995-8b4e-4d1e-b8a3-fe53fc133b36,2019-10-29T11:54:27,,8
2019-10-29T05:52:58.505+01:00,BAYELSA,OGBIA,KOLO11 FADAMA111 SEEFOR COMMUNITY ASSOCIATION,AGIBA KOLO11 FADAMA111 SEEFOR FISH FARMERS CSL,FISHERY,,Fish Pond,,,,,,,1014000,720000,294000,720000,25-09-17,Completed,Above 1 Year,3,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,12,1,7,6,4,6,4,36,34,0,0,0,0,,1000,,,,,2,20000,1572349381129.jpg,1572349400856.jpg,4.804916666666667 6.374680000000001 -13.6 5.0,4.804916667,6.37468,-13.6,5,INCREASED INCOME,Yes,HIGH COST OF FEEDS,Others,0,0,0,1,POACHING,AJEMUTA AKPO ABRAHAM,1572324987383.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39717357,d92908dc-a653-4bcc-b457-94c6c7342ebe,2019-10-29T11:44:53,,9
2019-09-25T13:40:12.406+01:00,EDO,ESAN CENTRAL,IDIGBA,ODALOIGHE PALM KERNEL PROCESSOR,PROCESSING,,,,,Palm Kernel Oil Processing,,,,939000,657300,281700,657300,06-07-17,Completed,1 - 3 Months,1,14,14,Capacity building services Advisory Services Input Support,1,1,0,1,31,31,22,8,6,8,6,11,17,2,1,9,16,,,,,,7200,192,620000,1569415514699.jpg,1569415532394.jpg,6.726179999999999 6.208911666666667 390.0 4.8,6.72618,6.208911667,390,4.8,INCREASE IN INCOME OF OUR MEMBERS AND HAS MADE PROCESSING OF PALM KERNEL EASY FOR THE COMMUNITY,Yes,POWER SUPPLY,,,,,,,IK NWAFOR,1569416227207.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37673391,372fa8fb-6247-4f20-a57d-7d86f7f67c61,2019-09-26T06:12:35,,10
